timestamp,neighbor_id,rssi,energy_consumption
1,139,-78,246.562
1,42,-73,246.562
1,103,-85,246.562
1,138,-79,246.562
1,74,-72,246.562
1,57,-82,246.562
2,139,-78,247.031
2,42,-73,247.031
2,103,-85,247.031
2,138,-79,247.031
2,74,-72,247.031
2,57,-82,247.031
3,139,-78,247.5
3,42,-73,247.5
3,103,-85,247.5
3,138,-79,247.5
3,74,-72,247.5
3,57,-82,247.5
4,139,-78,247.5
4,42,-73,247.5
4,103,-85,247.5
4,138,-79,247.5
4,74,-72,247.5
4,57,-82,247.5
5,139,-78,247.5
5,42,-73,247.5
5,103,-85,247.5
5,138,-79,247.5
5,74,-72,247.5
5,57,-82,247.5
6,139,-78,247.031
6,42,-73,247.031
6,103,-85,247.031
6,138,-79,247.031
6,74,-72,247.031
6,57,-82,247.031
7,139,-78,246.562
7,42,-73,246.562
7,103,-85,246.562
7,138,-79,246.562
7,74,-72,246.562
7,57,-82,246.562
8,139,-78,246.562
8,42,-73,246.562
8,103,-85,246.562
8,138,-79,246.562
8,74,-72,246.562
8,57,-82,246.562
9,139,-78,247.031
9,42,-73,247.031
9,103,-85,247.031
9,138,-79,247.031
9,74,-72,247.031
9,57,-82,247.031
10,139,-78,247.5
10,42,-73,247.5
10,103,-85,247.5
10,138,-79,247.5
10,74,-72,247.5
10,57,-82,247.5
11,139,-78,247.5
11,42,-73,247.5
11,103,-85,247.5
11,138,-79,247.5
11,74,-72,247.5
11,57,-82,247.5
12,139,-78,247.5
12,42,-73,247.5
12,103,-85,247.5
12,138,-79,247.5
12,74,-72,247.5
12,57,-82,247.5
13,139,-78,247.031
13,42,-73,247.031
13,103,-85,247.031
13,138,-79,247.031
13,74,-72,247.031
13,57,-82,247.031
14,139,-78,247.031
14,42,-73,247.031
14,103,-85,247.031
14,138,-79,247.031
14,74,-71,247.031
14,57,-82,247.031
15,139,-78,247.031
15,42,-73,247.031
15,103,-85,247.031
15,138,-79,247.031
15,74,-71,247.031
15,57,-82,247.031
16,139,-78,247.5
16,42,-73,247.5
16,103,-85,247.5
16,138,-79,247.5
16,74,-71,247.5
16,57,-82,247.5
17,139,-78,247.5
17,42,-73,247.5
17,103,-85,247.5
17,138,-79,247.5
17,74,-71,247.5
17,57,-82,247.5
18,139,-78,247.5
18,42,-73,247.5
18,103,-85,247.5
18,138,-79,247.5
18,74,-71,247.5
18,57,-82,247.5
19,139,-78,246.562
19,42,-73,246.562
19,103,-85,246.562
19,138,-79,246.562
19,74,-71,246.562
19,57,-82,246.562
20,139,-78,246.562
20,42,-73,246.562
20,103,-85,246.562
20,138,-79,246.562
20,74,-71,246.562
20,57,-82,246.562
21,139,-78,247.031
21,42,-73,247.031
21,103,-85,247.031
21,138,-79,247.031
21,74,-71,247.031
21,57,-82,247.031
22,139,-78,247.5
22,42,-73,247.5
22,103,-85,247.5
22,138,-79,247.5
22,74,-71,247.5
22,57,-82,247.5
23,139,-78,247.5
23,42,-73,247.5
23,103,-85,247.5
23,138,-79,247.5
23,74,-71,247.5
23,57,-82,247.5
24,139,-78,247.5
24,42,-73,247.5
24,103,-85,247.5
24,138,-79,247.5
24,74,-71,247.5
24,57,-82,247.5
25,139,-78,247.031
25,42,-73,247.031
25,103,-85,247.031
25,138,-79,247.031
25,74,-71,247.031
25,57,-82,247.031
26,139,-78,247.031
26,42,-73,247.031
26,103,-85,247.031
26,138,-79,247.031
26,74,-71,247.031
26,57,-82,247.031
27,139,-78,247.031
27,42,-73,247.031
27,103,-85,247.031
27,138,-79,247.031
27,74,-71,247.031
27,57,-82,247.031
28,139,-78,247.5
28,42,-73,247.5
28,103,-85,247.5
28,138,-79,247.5
28,74,-71,247.5
28,57,-82,247.5
29,139,-78,247.5
29,42,-73,247.5
