timestamp,neighbor_id,rssi,energy_consumption
1,103,-82,238.125
1,211,-90,238.125
1,57,-82,238.125
2,103,-82,238.594
2,211,-90,238.594
2,57,-82,238.594
3,103,-82,238.594
3,211,-90,238.594
3,57,-82,238.594
4,103,-82,238.125
4,211,-90,238.125
4,57,-82,238.125
5,103,-82,238.594
5,211,-90,238.594
5,57,-82,238.594
6,103,-82,239.062
6,211,-90,239.062
6,57,-82,239.062
7,103,-82,238.125
7,211,-90,238.125
7,57,-82,238.125
8,103,-82,238.125
8,211,-90,238.125
8,57,-82,238.125
9,103,-82,238.594
9,211,-90,238.594
9,57,-82,238.594
10,103,-82,238.594
10,211,-90,238.594
10,57,-82,238.594
11,103,-82,238.125
11,211,-90,238.125
11,57,-82,238.125
12,103,-82,238.594
12,211,-90,238.594
12,57,-82,238.594
13,103,-82,238.594
13,211,-90,238.594
13,57,-82,238.594
14,103,-82,238.594
14,211,-90,238.594
14,57,-82,238.594
15,103,-82,238.125
15,211,-90,238.125
15,57,-82,238.125
16,103,-82,238.125
16,211,-90,238.125
16,57,-82,238.125
17,103,-82,238.594
17,211,-90,238.594
17,57,-82,238.594
18,103,-82,238.125
18,211,-90,238.125
18,57,-82,238.125
19,103,-82,238.125
19,211,-90,238.125
19,57,-82,238.125
20,103,-82,238.125
20,211,-90,238.125
20,57,-82,238.125
21,103,-82,239.062
21,211,-90,239.062
21,57,-82,239.062
22,103,-82,238.125
22,211,-90,238.125
22,57,-82,238.125
23,103,-82,238.125
23,211,-90,238.125
23,57,-82,238.125
24,103,-82,238.125
24,211,-90,238.125
24,57,-82,238.125
25,103,-82,238.594
25,211,-90,238.594
25,57,-82,238.594
26,103,-82,238.125
26,211,-90,238.125
26,57,-82,238.125
27,103,-82,238.125
27,211,-90,238.125
27,57,-82,238.125
28,103,-82,238.125
28,211,-90,238.125
28,57,-82,238.125
29,103,-82,238.594
29,211,-90,238.594
29,57,-82,238.594
30,103,-82,238.125
30,211,-90,238.125
30,57,-82,238.125
31,103,-82,238.125
31,211,-90,238.125
31,57,-82,238.125
32,103,-82,238.594
32,211,-90,238.594
32,57,-82,238.594
33,103,-82,238.594
33,211,-90,238.594
33,57,-82,238.594
34,103,-82,238.125
34,211,-90,238.125
34,57,-82,238.125
35,103,-82,238.125
35,211,-90,238.125
35,57,-82,238.125
36,103,-82,238.594
36,211,-90,238.594
36,57,-82,238.594
37,103,-82,238.125
37,211,-90,238.125
37,57,-82,238.125
38,103,-82,238.125
38,211,-90,238.125
38,57,-82,238.125
39,103,-82,238.125
39,211,-90,238.125
39,57,-82,238.125
40,103,-82,239.062
40,211,-90,239.062
40,57,-82,239.062
41,103,-82,238.594
41,211,-90,238.594
41,57,-82,238.594
42,103,-82,238.125
42,211,-90,238.125
42,57,-82,238.125
43,103,-82,238.125
43,211,-90,238.125
43,57,-82,238.125
44,103,-82,239.062
44,211,-90,239.062
44,57,-82,239.062
45,103,-82,238.594
45,211,-90,238.594
45,57,-82,238.594
46,103,-82,238.125
46,211,-90,238.125
46,57,-82,238.125
47,103,-82,238.594
47,211,-90,238.594
47,57,-82,238.594
48,103,-82,238.594
48,211,-90,238.594
48,57,-82,238.594
49,103,-82,238.125
49,211,-90,238.125
49,57,-82,238.125
50,103,-82,238.125
50,211,-90,238.125
50,57,-82,238.125
51,103,-82,238.594
51,211,-90,238.594
51,57,-82,238.594
52,103,-82,238.594
52,211,-90,238.594
52,57,-82,238.594
53,103,-82,238.594
53,211,-90,238.594
53,57,-82,238.594
54,103,-82,238.125
54,211,-90,238.125
54,57,-82,238.125
55,103,-82,238.594
55,211,-90,238.594
55,57,-82,238.594
56,103,-82,239.062
56,211,-90,239.062
56,57,-82,239.062
57,103,-82,238.125
57,211,-90,238.125
57,57,-82,238.125
58,103,-82,238.125
58,211,-90,238.125
58,57,-82,238.125
59,103,-82,238.594
59,211,-90,238.594
59,57,-82,238.594
60,103,-82,239.062
60,211,-90,239.062
60,57,-82,239.062
61,103,-82,238.125
61,211,-90,238.125
61,57,-82,238.125
62,103,-82,238.594
62,211,-90,238.594
62,57,-82,238.594
63,103,-82,238.594
63,211,-90,238.594
63,57,-82,238.594
64,103,-82,238.594
64,211,-90,238.594
64,57,-82,238.594
65,103,-82,238.125
65,211,-90,238.125
65,57,-82,238.125
66,103,-82,238.125
66,211,-90,238.125
66,57,-82,238.125
67,103,-82,239.062
67,211,-90,239.062
67,57,-82,239.062
68,103,-82,238.594
68,211,-90,238.594
68,57,-82,238.594
69,103,-82,238.125
69,211,-90,238.125
69,57,-82,238.125
70,103,-82,238.125
70,211,-90,238.125
70,57,-82,238.125
71,103,-82,238.594
71,211,-90,238.594
71,57,-82,238.594
72,103,-82,238.125
72,211,-90,238.125
72,57,-82,238.125
73,103,-82,238.125
73,211,-90,238.125
73,57,-82,238.125
74,103,-82,238.125
74,211,-90,238.125
74,57,-82,238.125
75,103,-82,238.594
75,211,-90,238.594
75,57,-82,238.594
76,103,-82,238.594
76,211,-90,238.594
76,57,-82,238.594
77,103,-82,238.125
77,211,-90,238.125
77,57,-82,238.125
78,103,-82,238.125
78,211,-90,238.125
78,57,-82,238.125
79,103,-82,238.594
